Year,Location
1896,GRE
1900,FRA
1904,USA
1908,GBR
1912,SWE
1920,BEL
1924,FRA
1928,NED
1932,USA
1936,GER
1948,GBR
1952,FIN
1956,AUS
1960,ITA
1964,JPN
1968,MEX
1972,GER
1976,CAN
1980,URS
1984,USA
1988,KOR
1992,ESP
1996,USA
2000,AUS
2004,GRE
2008,CHN
2012,GBR
2016,BRA
2020,JPN
2024,FRA
1924,FRA
1928,SUI
1932,USA
1936,GER
1948,SUI
1952,NOR
1956,ITA
1960,USA
1964,AUT
1968,FRA
1972,JPN
1976,AUT
1980,USA
1984,YUG
1988,CAN
1992,FRA
1994,NOR
1998,JPN
2002,USA
2006,ITA
2010,CAN
2014,RUS
2018,KOR
2022,CHN
2026,ITA
